"Source:","C:\Users\samue\OneDrive\Documents\ELECTRONICS_PROJECTS\TallySystems\KiCad\TallyLight\TallyLight.kicad_sch"
"Date:","9/11/2023 0:10:53"
"Tool:","Eeschema 7.0.5"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","48"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"14","1","Q1","BSS138DW-7-F","SamacSys_Parts:BSS138DW-7-F","SamacSys_Parts:SOT65P210X110-6N","","","MOSFET Dual N-Channel 50V 0.2A SOT363 Diodes Inc BSS138DW-7-F Dual N-channel MOSFET Transistor, 0.2 A, 50 V, 6-Pin SOT-363","1.1","Diodes Inc.","BSS138DW-7-F","621-BSS138DW-F","https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/BSS138DW-7-F?qs=rGAXPo9uwV10UlZnPRLyGg%3D%3D"
"15","2","R1, R2","5K1","Device:R","Samuel_Library:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","",""
"16","1","R3","100K","Device:R","Samuel_Library:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","",""
"17","1","R4","130R","Device:R","Samuel_Library:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","",""
"18","2","R5, R6","300R","Device:R","Samuel_Library:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","",""
"19","1","RN1","10K","SamacSys_Parts:YC124-JR-0710KL","SamacSys_Parts:YC124JR0710KL","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-YC_TC_group_51_RoHS_L_9.pdf","","10k Ohm +/-5% 62.5mW Power Per Element Isolated 4 Resistor Network/Array +/-200ppm/C 0804, Convex, Long Side Terminals","0.55","YAGEO","YC124-JR-0710KL","603-YC124-JR-0710KL","https://www.mouser.co.uk/ProductDetail/YAGEO/YC124-JR-0710KL?qs=o9qB%2F%252BVTi4UUU%2FolE1vUew%3D%3D"
"20","1","SET1","TS02-66-50-BK-260-SCR-D","SamacSys_Parts:TS02-66-50-BK-260-SCR-D","SamacSys_Parts:TS026650BK260SCRD","https://www.cuidevices.com/product/resource/ts02.pdf","","Tactile Switches 6 x 6 mm, 5 mm Act Height, 260 gf, Black, Short Crimped, Through Hole, SPST,","5.2","CUI Devices","TS02-66-50-BK-260-SCR-D","179-TS026650BK260SCR","https://www.mouser.co.uk/ProductDetail/CUI-Devices/TS02-66-50-BK-260-SCR-D?qs=A6eO%252BMLsxmQtNldP04biKA%3D%3D"
"21","1","TALLY#1","SD-1210","SamacSys_Parts:SD-1210","SamacSys_Parts:SD1210","https://www.mouser.ch/datasheet/2/972/sd_1000_26sd_2000-1827479.pdf","","Coded Rotary Switches dip rotary code hex, real code, top adj. with + slot","4.2","NIDEC COPAL","SD-1210","229-SD-1210","https://www.mouser.co.uk/ProductDetail/Nidec-Copal/SD-1210?qs=XeJtXLiO41R8TV%2F4jbbpgQ%3D%3D"
"22","1","U1","LED 1","Samuel_Library:SK6812_SIDE-A","Samuel_Library:SK6812_SIDE-A","","","","","","","",""
"23","1","U2","LED 2","Samuel_Library:SK6812_SIDE-A","Samuel_Library:SK6812_SIDE-A","","","","","","","",""
"24","1","U3","LED 3","Samuel_Library:SK6812_SIDE-A","Samuel_Library:SK6812_SIDE-A","","","","","","","",""
"25","1","U4","LED 4","Samuel_Library:SK6812_SIDE-A","Samuel_Library:SK6812_SIDE-A","","","","","","","",""
"26","1","U5","LED 5","Samuel_Library:SK6812_SIDE-A","Samuel_Library:SK6812_SIDE-A","","","","","","","",""
"27","1","U6","LED 6","Samuel_Library:SK6812_SIDE-A","Samuel_Library:SK6812_SIDE-A","","","","","","","",""
"28","1","U7","LED 7","Samuel_Library:SK6812_SIDE-A","Samuel_Library:SK6812_SIDE-A","","","","","","","",""
"29","1","U8","LED 8","Samuel_Library:SK6812_SIDE-A","Samuel_Library:SK6812_SIDE-A","","","","","","","",""
"30","1","U9","NRF24L01","MySensors:NRF24L01","MySensors:NRF24L01-SMD","","","","","","","",""
"31","1","Y1","16M","SamacSys_Parts:ABLS-16.000MHz-16-A-4-H-T","SamacSys_Parts:ABLS","https://abracon.com/Resonators/abls.pdf","","Oscillator MEMS 120MHz +/-10ppm (Stability) 15pF LVCMOS 55% 1.8V/2.5V/3.3V Automotive 4-Pin QFN SMD T/R","","ABRACON","ABLS-16.000MHz-16-A-4-H-T","815-LS16000MHZ16A4HT","https://www.mouser.co.uk/ProductDetail/ABRACON/ABLS-16.000MHZ-16-A-4-H-T?qs=vLWxofP3U2z6hhU1at4Vrw%3D%3D"
